row_id,group_id,task,rewrite,label,prediction
0,gcd-217242,gcd,ORIG,+ 2,+ 2
1,gcd-217242,gcd,BEZ_b(k=-3),+ 2,+ 2
2,gcd-217242,gcd,BEZ_b(k=2),+ 2,+ 1
3,gcd-217242,gcd,BEZ_b(k=-1),+ 2,+ 2
4,gcd-217242,gcd,BEZ_b(k=1),+ 2,+ 2
5,gcd-217242,gcd,COMM,+ 2,+ 2
6,gcd-217242,gcd,SIGN,+ 2,+ 1
7,gcd-22593,gcd,ORIG,+ 5 3 2,+ 5 3 2
8,gcd-22593,gcd,BEZ_a(k=3),+ 5 3 2,+ 5 3 2
9,gcd-22593,gcd,BEZ_b(k=-2),+ 5 3 2,+ 1 3 2
10,gcd-22593,gcd,BEZ_b(k=2),+ 5 3 2,+ 5 3 2
11,gcd-22593,gcd,BEZ_b(k=-3),+ 5 3 2,+ 5 3 2
12,gcd-22593,gcd,COMM,+ 5 3 2,+ 5 3 2
